# Time-averaged data for fix myat3
# TimeStep v_mydensity
117000 0.00757012
117100 0.00757902
117200 0.00758798
117300 0.00759676
117400 0.00760537
117500 0.00761418
117600 0.00762348
117700 0.00763316
117800 0.00764311
117900 0.00765336
118000 0.00766402
118100 0.00767535
118200 0.00768746
118300 0.00770012
118400 0.00771299
118500 0.00772617
118600 0.0077397
118700 0.00775327
118800 0.0077667
118900 0.00778013
119000 0.00779355
119100 0.00780681
119200 0.00781968
119300 0.00783204
119400 0.00784393
119500 0.00785515
119600 0.00786553
119700 0.00787503
119800 0.0078836
119900 0.00789092
120000 0.00789652
120100 0.00790045
120200 0.00790303
120300 0.00790456
120400 0.00790514
120500 0.00790512
120600 0.00790482
120700 0.00790428
120800 0.00790372
120900 0.00790322
121000 0.00790283
121100 0.00790267
121200 0.00790295
121300 0.007904
121400 0.0079058
121500 0.00790837
121600 0.00791157
121700 0.00791507
121800 0.00791871
121900 0.0079224
122000 0.00792629
122100 0.00793082
122200 0.00793631
122300 0.00794279
122400 0.00795003
122500 0.00795753
122600 0.00796484
122700 0.00797191
122800 0.00797921
122900 0.007987
123000 0.00799515
123100 0.00800347
123200 0.00801197
123300 0.00802087
123400 0.00803016
123500 0.00803976
123600 0.00804975
123700 0.00806007
123800 0.00807057
123900 0.00808119
124000 0.00809192
124100 0.00810266
124200 0.0081133
124300 0.00812399
124400 0.00813485
124500 0.00814574
124600 0.00815642
124700 0.00816699
124800 0.00817748
124900 0.00818794
125000 0.00819863
125100 0.00820943
125200 0.00822003
125300 0.00823014
125400 0.00823975
125500 0.00824896
125600 0.00825806
125700 0.00826717
125800 0.00827619
125900 0.00828504
126000 0.00829367
126100 0.00830222
126200 0.008311
126300 0.00832006
126400 0.00832955
126500 0.00833965
126600 0.00835064
126700 0.00836273
126800 0.00837586
126900 0.00839014
127000 0.00840545
127100 0.00842179
127200 0.00843913
127300 0.00845714
127400 0.00847525
127500 0.00849286
127600 0.00850955
127700 0.00852545
127800 0.00854077
127900 0.00855562
128000 0.00856994
128100 0.00858385
128200 0.00859763
128300 0.00861124
128400 0.00862462
128500 0.00863798
128600 0.00865158
128700 0.00866537
128800 0.00867889
128900 0.00869191
129000 0.00870437
129100 0.0087161
129200 0.00872701
129300 0.00873725
129400 0.00874681
129500 0.00875572
129600 0.00876415
129700 0.00877236
129800 0.00878047
129900 0.00878839
130000 0.00879625
130100 0.00880412
130200 0.00881157
130300 0.0088184
130400 0.00882468
130500 0.00883055
130600 0.00883603
130700 0.00884103
130800 0.00884586
130900 0.0088509
131000 0.00885631
131100 0.00886213
131200 0.00886842
131300 0.00887509
131400 0.00888208
131500 0.00888955
131600 0.00889756
131700 0.008906
131800 0.00891483
131900 0.00892412
132000 0.0089339
132100 0.00894397
132200 0.00895427
132300 0.00896474
132400 0.00897525
132500 0.00898546
132600 0.00899524
132700 0.00900483
132800 0.00901432
132900 0.00902359
133000 0.0090323
133100 0.00903988
133200 0.00904626
133300 0.00905152
133400 0.00905583
133500 0.00905966
133600 0.00906345
133700 0.00906764
133800 0.00907252
133900 0.0090782
134000 0.00908483
134100 0.00909256
134200 0.00910156
134300 0.00911193
134400 0.00912362
134500 0.00913641
134600 0.00915025
134700 0.00916503
134800 0.00918076
134900 0.00919755
135000 0.00921515
135100 0.00923302
135200 0.0092508
135300 0.00926819
135400 0.00928501
135500 0.00930136
135600 0.00931713
135700 0.00933203
135800 0.00934594
135900 0.00935876
136000 0.00937065
136100 0.0093817
136200 0.00939181
136300 0.00940086
136400 0.00940885
136500 0.00941609
136600 0.00942302
136700 0.00942985
136800 0.00943649
136900 0.00944281
137000 0.00944862
137100 0.00945396
137200 0.00945891
137300 0.00946337
137400 0.00946724
137500 0.00947049
137600 0.00947343
137700 0.00947655
137800 0.00947998
137900 0.00948359
138000 0.00948734
138100 0.0094917
138200 0.00949698
138300 0.00950355
138400 0.00951151
138500 0.00952057
138600 0.00953045
138700 0.00954095
138800 0.00955211
138900 0.00956371
139000 0.00957556
139100 0.00958757
139200 0.00959984
139300 0.00961237
139400 0.00962499
139500 0.0096377
139600 0.0096505
139700 0.00966332
139800 0.0096759
139900 0.00968832
140000 0.00970116
140100 0.00971478
140200 0.00972896
140300 0.00974315
140400 0.00975718
140500 0.00977118
140600 0.00978516
140700 0.00979875
140800 0.0098115
140900 0.00982341
141000 0.00983459
141100 0.00984533
141200 0.00985583
141300 0.00986622
141400 0.00987637
141500 0.00988596
141600 0.0098948
141700 0.00990285
141800 0.00991009
141900 0.00991653
142000 0.00992242
142100 0.00992796
142200 0.00993333
142300 0.00993863
142400 0.00994399
142500 0.00994973
142600 0.00995617
142700 0.00996358
142800 0.009972
142900 0.00998118
143000 0.00999089
143100 0.0100014
143200 0.0100132
143300 0.0100264
143400 0.0100405
143500 0.0100553
143600 0.0100709
143700 0.0100869
143800 0.0101034
143900 0.0101204
144000 0.0101379
144100 0.0101555
144200 0.0101726
144300 0.0101883
